,start_date,end_date,begin_date,finish_date,duration
1220,5/19/2013 17:54,5/20/2013 10:58,2013-05-19 17:54:00,2013-05-20 10:58:00,0 days 17:04:00.000000000
1227,10/30/2012 17:53,10/31/2012 10:53,2012-10-30 17:53:00,2012-10-31 10:53:00,0 days 17:00:00.000000000
1237,6/24/2012 16:32,6/25/2012 9:25,2012-06-24 16:32:00,2012-06-25 09:25:00,0 days 16:53:00.000000000
1239,10/8/2011 19:27,10/9/2011 12:19,2011-10-08 19:27:00,2011-10-09 12:19:00,0 days 16:52:00.000000000
1240,11/2/2011 17:31,11/3/2011 10:22,2011-11-02 17:31:00,2011-11-03 10:22:00,0 days 16:51:00.000000000
1253,5/31/2012 19:52,6/1/2012 12:40,2012-05-31 19:52:00,2012-06-01 12:40:00,0 days 16:48:00.000000000
1258,9/27/2011 19:01,9/28/2011 11:42,2011-09-27 19:01:00,2011-09-28 11:42:00,0 days 16:41:00.000000000
1260,9/21/2011 0:26,9/21/2011 17:06,2011-09-21 00:26:00,2011-09-21 17:06:00,0 days 16:40:00.000000000
1262,4/15/2013 18:34,4/16/2013 11:12,2013-04-15 18:34:00,2013-04-16 11:12:00,0 days 16:38:00.000000000
1265,8/24/2011 20:35,8/25/2011 13:12,2011-08-24 20:35:00,2011-08-25 13:12:00,0 days 16:37:00.000000000
1266,4/15/2013 18:57,4/16/2013 11:33,2013-04-15 18:57:00,2013-04-16 11:33:00,0 days 16:36:00.000000000
1274,7/11/2012 2:56,7/11/2012 19:28,2012-07-11 02:56:00,2012-07-11 19:28:00,0 days 16:32:00.000000000
1276,3/31/2012 21:00,4/1/2012 13:31,2012-03-31 21:00:00,2012-04-01 13:31:00,0 days 16:31:00.000000000
1287,8/29/2012 18:39,8/30/2012 11:03,2012-08-29 18:39:00,2012-08-30 11:03:00,0 days 16:24:00.000000000
1293,10/5/2011 16:37,10/6/2011 8:51,2011-10-05 16:37:00,2011-10-06 08:51:00,0 days 16:14:00.000000000
1294,7/9/2013 17:51,7/10/2013 10:04,2013-07-09 17:51:00,2013-07-10 10:04:00,0 days 16:13:00.000000000
1295,9/14/2012 19:03,9/15/2012 11:15,2012-09-14 19:03:00,2012-09-15 11:15:00,0 days 16:12:00.000000000
1300,6/25/2013 22:54,6/26/2013 15:03,2013-06-25 22:54:00,2013-06-26 15:03:00,0 days 16:09:00.000000000
1304,9/27/2011 15:38,9/28/2011 7:46,2011-09-27 15:38:00,2011-09-28 07:46:00,0 days 16:08:00.000000000
1306,8/30/2011 18:02,8/31/2011 10:08,2011-08-30 18:02:00,2011-08-31 10:08:00,0 days 16:06:00.000000000
1313,7/9/2013 19:05,7/10/2013 11:05,2013-07-09 19:05:00,2013-07-10 11:05:00,0 days 16:00:00.000000000
1315,11/14/2011 15:51,11/15/2011 7:48,2011-11-14 15:51:00,2011-11-15 07:48:00,0 days 15:57:00.000000000
1321,5/4/2012 8:04,5/4/2012 23:56,2012-05-04 08:04:00,2012-05-04 23:56:00,0 days 15:52:00.000000000
1322,10/24/2011 18:00,10/25/2011 9:53,2011-10-24 18:00:00,2011-10-25 09:53:00,0 days 15:53:00.000000000
1329,10/25/2011 17:20,10/26/2011 9:07,2011-10-25 17:20:00,2011-10-26 09:07:00,0 days 15:47:00.000000000
1338,4/2/2013 16:39,4/3/2013 8:19,2013-04-02 16:39:00,2013-04-03 08:19:00,0 days 15:40:00.000000000
1342,10/5/2012 18:35,10/6/2012 10:14,2012-10-05 18:35:00,2012-10-06 10:14:00,0 days 15:39:00.000000000
1343,6/4/2013 1:03,6/4/2013 16:42,2013-06-04 01:03:00,2013-06-04 16:42:00,0 days 15:39:00.000000000
